"Название";"id";"Компонентов";"Telegram";"Facebook";"Viber"
"Стартовый экран";"welcome";"6";"https://t.me/KS54_Helper_bot?start=welcome";"";""
"Сбор данных 1";"9UokRLqexxYXLOJGBsQsV";"10";"https://t.me/KS54_Helper_bot?start=9UokRLqexxYXLOJGBsQsV";"";""
"Сбор данных 2 Номер телефона";"zotcXbYKVqbrRL5ZMD_sS";"7";"https://t.me/KS54_Helper_bot?start=zotcXbYKVqbrRL5ZMD_sS";"";""
"Меню после регистрации";"HNimQdonzSp3wcJ_l0fQ_";"2";"https://t.me/KS54_Helper_bot?start=HNimQdonzSp3wcJ_l0fQ_";"";""
"Info";"7qsXA7se16-srfqYH_4N4";"2";"https://t.me/KS54_Helper_bot?start=7qsXA7se16-srfqYH_4N4";"";""
"История";"DDFlqcwSo1QMuIFA_q9yv";"2";"https://t.me/KS54_Helper_bot?start=DDFlqcwSo1QMuIFA_q9yv";"";""
"Специальности";"i2u3jr201x6NreiKdQOtF";"2";"https://t.me/KS54_Helper_bot?start=i2u3jr201x6NreiKdQOtF";"";""
"Учеба после 11 класса";"XdDQQTgYwaYsQNeP_z--W";"2";"https://t.me/KS54_Helper_bot?start=XdDQQTgYwaYsQNeP_z--W";"";""
"поступление";"yG_AlL0I4HbPM47j5QUk2";"2";"https://t.me/KS54_Helper_bot?start=yG_AlL0I4HbPM47j5QUk2";"";""
"Карьера";"DYg0MdwLrfzxSRkkei-T4";"2";"https://t.me/KS54_Helper_bot?start=DYg0MdwLrfzxSRkkei-T4";"";""
"для студентов";"_bt4XparlRnCFHQT1MQWj";"2";"https://t.me/KS54_Helper_bot?start=_bt4XparlRnCFHQT1MQWj";"";""
"Про учебу";"MeLkFKj3Q12Ul5bnSIO8h";"1";"https://t.me/KS54_Helper_bot?start=MeLkFKj3Q12Ul5bnSIO8h";"";""
"Документы";"qbWG9NgrvRNdS2ygak76x";"1";"https://t.me/KS54_Helper_bot?start=qbWG9NgrvRNdS2ygak76x";"";""
"Выплаты";"tWfwI3LeJVlfyF1tplzfF";"1";"https://t.me/KS54_Helper_bot?start=tWfwI3LeJVlfyF1tplzfF";"";""
"Практика";"1VCaw6S3jkxg4fO5NhCxX";"1";"https://t.me/KS54_Helper_bot?start=1VCaw6S3jkxg4fO5NhCxX";"";""
"жизнь колледжа";"Xy1NL0yAr71-jUljymgRV";"1";"https://t.me/KS54_Helper_bot?start=Xy1NL0yAr71-jUljymgRV";"";""
"Свои вопросы";"wh1OrlRIjiF7U_PPLoHu4";"1";"https://t.me/KS54_Helper_bot?start=wh1OrlRIjiF7U_PPLoHu4";"";""
"Дни открытых дверей";"boz1gLDVGvd2aqX-1CZvB";"1";"https://t.me/KS54_Helper_bot?start=boz1gLDVGvd2aqX-1CZvB";"";""
"25 марта";"8mVW3Pgh8ZQjPCaX_lBio";"7";"https://t.me/KS54_Helper_bot?start=8mVW3Pgh8ZQjPCaX_lBio";"";""
"1 апреля";"7zCiwF0A-EmExWmFoKG3A";"7";"https://t.me/KS54_Helper_bot?start=7zCiwF0A-EmExWmFoKG3A";"";""
"15 апреля";"oN1aNcIAA22-hOJ7R5eRp";"7";"https://t.me/KS54_Helper_bot?start=oN1aNcIAA22-hOJ7R5eRp";"";""
"экран успеха 25 марта";"MXmQaiLPbA8RWhIOzYQ9Y";"1";"https://t.me/KS54_Helper_bot?start=MXmQaiLPbA8RWhIOzYQ9Y";"";""
"экран не успеха";"eHZiWI4pxuPZtGOOWa9zo";"1";"https://t.me/KS54_Helper_bot?start=eHZiWI4pxuPZtGOOWa9zo";"";""
"проверка данных";"0eE-dZj3ThJSV4P0-DWMu";"1";"https://t.me/KS54_Helper_bot?start=0eE-dZj3ThJSV4P0-DWMu";"";""
"связь";"m5lFWHWyBBaUz1cD1miUB";"1";"https://t.me/KS54_Helper_bot?start=m5lFWHWyBBaUz1cD1miUB";"";""
"сайт";"uM2dYDhBUW6B_lc_qCIC6";"2";"https://t.me/KS54_Helper_bot?start=uM2dYDhBUW6B_lc_qCIC6";"";""
"студент успех";"ZR_fQBLfpzUJK4uWxLS79";"1";"https://t.me/KS54_Helper_bot?start=ZR_fQBLfpzUJK4uWxLS79";"";""
"студент не успех";"JpA_ZQ2H_XwmIN4VLFfOW";"1";"https://t.me/KS54_Helper_bot?start=JpA_ZQ2H_XwmIN4VLFfOW";"";""
"администрация";"7uoo9ts9-oBQUTK4si5vO";"1";"https://t.me/KS54_Helper_bot?start=7uoo9ts9-oBQUTK4si5vO";"";""
"Успех";"4dvonREon3nJzJgieeGQV";"1";"https://t.me/KS54_Helper_bot?start=4dvonREon3nJzJgieeGQV";"";""
"Не успех";"2VbfDFWNC0ul0AphSGPuv";"1";"https://t.me/KS54_Helper_bot?start=2VbfDFWNC0ul0AphSGPuv";"";""
"рассылка";"0pH3WF0B4ZLoWQnPUbf-y";"1";"https://t.me/KS54_Helper_bot?start=0pH3WF0B4ZLoWQnPUbf-y";"";""
